xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
62.2769 0.0487 61.5591 0.1572 9.1807 0.0396 7.8395 0.4215 0.9845 0.0619 0.3007 0.009 -12.6754 0.9771 6.7601 2.9498 0.0 1.1776 VFID0395-UGC07153 1
25.2882 0.09 26.8223 0.0705 8.9191 0.0178 4.8265 0.1301 0.4752 0.0282 0.7693 0.0186 56.8166 4.0043 -3.7415 8.1666 0.0 1.193 VFID0405-CGCG291-043 1
36.4114 0.0683 35.6485 0.1475 10.0286 0.0425 5.1792 0.3053 0.7821 0.0672 0.456 0.0158 23.6434 2.1537 -0.6218 3.9418 0.0 1.0988 VFID0409-UGC08514 1
26.2094 0.1315 30.7377 0.5745 10.8338 0.0932 7.6174 0.505 0.1571 0.0603 0.2149 0.0171 7.4341 1.4539 75.6241 7.3933 0.0 1.3437 VFID0412-MCG+10-17-093 1
9.5951 0.011 10.4598 0.0097 8.529 0.0143 2.7643 0.0283 0.8237 0.0115 0.9736 0.0057 -88.8112 11.8498 76.1774 20.0686 0.0 1.294 VFID0422-ARK499 1
36.1693 0.0789 35.9475 0.2112 8.9052 0.0441 11.2079 0.6606 1.0701 0.0639 0.3524 0.0104 0.4707 1.26 -29.4137 5.4884 0.0 1.3453 VFID0428-UGC08822 1
38.5222 0.0537 37.8483 0.0801 8.3323 0.0143 5.7973 0.1215 0.5887 0.0227 0.6478 0.0103 18.8072 1.689 125.0238 5.5548 0.0 1.4492 VFID0456-UGC06858 1
30.0764 38.6346 17.36 16.2203 5.5894 20.2783 3.7762 22.6668 1.8593 5.2076 0.1752 0.1718 -66.4302 3.6394 50.3783 64.4165 1.0 1.201 VFID0457-VIIZw591 1
43.8595 0.0573 43.8657 0.1794 9.5126 0.0322 7.1286 0.32 0.7275 0.0502 0.3138 0.0092 -5.6004 1.0419 20.3327 3.5516 0.0 1.2287 VFID0470-UGC08988 1
46.3121 0.1903 43.1049 0.1461 8.703 0.0215 8.6744 0.276 0.4387 0.0323 0.5344 0.0158 52.9304 1.8734 -13.4089 4.6161 0.0 1.2416 VFID0485-NGC3589 1
25.8498 0.0441 25.7667 0.0467 9.365 0.017 3.9136 0.0949 0.6107 0.0279 0.5026 0.0091 -42.7764 1.145 12.8262 6.1964 0.0 1.2956 VFID0501-UGC09556 1
38.0726 0.2418 37.8832 0.1393 9.9421 0.0567 5.5554 0.4222 0.7211 0.0806 0.5797 0.0283 89.7491 4.425 -17.2764 4.571 0.0 1.2169 VFID0524-UGC08282 1
57.8562 0.0252 58.1716 0.0152 6.8134 0.0031 8.2203 0.0334 0.4581 0.0047 0.3538 0.0013 58.8562 0.1323 -15.4474 3.2202 0.0 1.321 VFID0538-NGC3835 1
25.8777 0.0919 27.0187 0.0768 9.7129 0.0179 4.4901 0.1124 0.4534 0.0238 0.8272 0.0191 77.6136 5.1244 8.3972 3.8461 0.0 1.172 VFID0542-UGC10247 1
38.0225 0.0481 38.6609 0.0246 7.8354 0.0074 5.8457 0.0612 0.4803 0.0118 0.5072 0.0047 -72.2054 0.5595 11.272 5.4572 0.0 1.3037 VFID0553-NGC3740 1
37.3695 0.308 38.7466 0.168 10.7621 0.077 4.8181 0.2926 0.1815 0.05 0.5413 0.0392 72.6696 4.1348 -10.5594 4.2891 0.0 2.4084 VFID0589-UGC09816 1
17.648 0.0083 18.1315 0.0094 7.1131 0.0061 2.43 0.0209 1.3095 0.0217 0.9217 0.0068 23.6983 3.4703 60.1339 18.6197 0.0 2.5166 VFID0594-UGC05408 1
35.4623 0.1318 38.4706 0.1405 9.7417 0.034 6.1187 0.2956 0.6232 0.0569 0.2961 0.0108 43.2064 1.0903 -8.3553 4.7869 0.0 1.5039 VFID0606-UGC09080 1
29.129 0.2463 28.7256 0.3376 9.5197 0.1196 8.7809 0.8822 0.9342 0.1088 0.7297 0.0421 18.7986 8.9631 -11.0096 8.2548 0.0 1.2021 VFID0609-UGC09391 1
47.6156 0.1758 48.7836 0.1683 8.6315 0.0269 7.7491 0.2956 0.4881 0.0313 0.9574 0.0321 41.8259 33.2355 -32.8215 4.4077 0.0 1.1887 VFID0618-UGC06335 1
34.3809 0.0063 33.9617 0.0088 7.6011 0.0061 2.4051 0.0208 1.2368 0.0155 0.8477 0.0043 19.3525 1.5073 -11.4339 5.4858 0.0 1.3869 VFID0620-SBS0945+594 1
29.561 0.0898 29.7616 0.0999 10.5453 0.0721 2.4186 0.2348 0.8597 0.1148 0.8535 0.0611 -23.3886 18.763 10.6001 7.1276 0.0 1.7162 VFID0621-CGCG289-027 1
24.5453 0.0149 24.6298 0.011 8.5601 0.0112 3.4349 0.0504 0.9897 0.0178 0.5458 0.0045 72.6171 0.6518 67.9274 6.3897 0.0 1.324 VFID0638-WISEAJ150535.77+590537.2 1
23.1065 0.1759 24.0073 0.1021 9.3877 0.0247 5.604 0.2123 0.4286 0.0372 0.5908 0.0214 -74.7486 2.6575 -36.0785 8.3845 0.0 1.1637 VFID0654-UGC05673 1
15.7206 0.4348 15.7495 0.2642 6.9482 5.3333 68.2208 242.9691 1.9504 1.719 0.6086 0.0509 70.1025 6.3916 -150.5473 269.4792 0.0 1.2024 VFID0672-UGC09638 1
23.4597 0.0309 23.5254 0.0377 9.3737 0.0537 3.6172 0.2701 1.5747 0.1231 0.7455 0.0287 22.9688 4.9615 -17.836 10.8083 0.0 1.1771 VFID0679-UGC05435 1
