xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
43.0877 0.03 43.5237 0.027 8.8673 0.0273 3.9165 0.1463 1.1792 0.0468 0.6809 0.0148 -43.0373 2.3143 -10.5953 4.5602 0.0 1.1925 VFID0788-NGC3838 1
88.865 0.0118 87.0806 0.0192 4.2589 0.0016 10.0596 0.0218 0.4652 0.0026 0.602 0.0012 0.7325 0.1624 45.6598 6.5488 0.0 19.1068 VFID0790-NGC5678 1
73.2684 0.7134 72.3214 0.8429 7.1675 1.134 122.3729 127.6818 2.3059 0.9104 0.4092 0.0404 39.816 3.9379 -35.4489 9.6597 0.0 1.1845 VFID0805-UGC08441 1
34.4019 0.0133 34.2286 0.0131 6.2927 0.0037 5.9169 0.0307 0.7487 0.0053 0.3781 0.0014 -46.2277 0.1527 116.2574 10.5584 0.0 5.5014 VFID0816-NGC5526 1
19.2843 0.0715 19.8966 0.1458 10.0752 0.0547 4.4185 0.3217 0.9053 0.0869 0.4996 0.0209 -3.612 2.9171 5.2582 9.1659 0.0 1.3405 VFID0945-KUG1420+564 1
60.5114 0.125 61.3869 0.1002 7.5418 0.0217 11.86 0.3654 0.8718 0.0316 0.5217 0.0091 -52.2771 1.3123 5.7789 4.7311 0.0 1.9774 VFID0949-NGC3794 1
50.9591 0.2447 51.9246 0.1068 8.3776 0.0362 12.8551 0.6231 0.9013 0.0532 0.4328 0.0111 -66.1651 1.5116 19.5975 4.4962 0.0 1.322 VFID0966-NGC3850 1
51.5616 0.0522 50.7356 0.0628 6.7823 0.0059 13.628 0.1106 0.558 0.0094 0.345 0.0023 40.0749 0.2301 -2.6523 4.4034 0.0 1.946 VFID0973-NGC5443 1
58.4586 0.0228 58.7024 0.0351 8.5107 0.0288 5.6093 0.2278 1.5484 0.0553 0.6528 0.0133 -20.0004 1.8873 9.1354 3.0593 0.0 1.3629 VFID0980-NGC5475 1
121.5271 0.0443 120.1911 0.0093 2.9414 0.0032 37.5975 0.1701 1.3235 0.0067 0.1914 0.0005 79.3214 0.0405 -193.3689 8.6611 0.0 31.4578 VFID0987-MESSIER108 1
49.614 0.1745 48.0681 0.0615 9.1701 0.025 6.6299 0.2263 0.5232 0.0403 0.3511 0.0102 87.8432 1.0301 13.8798 4.1514 0.0 1.2191 VFID0991-UGC06919 1
31.9136 0.0707 31.9058 0.1369 9.8791 0.035 4.5662 0.2172 0.6474 0.051 0.5142 0.0167 1.4358 2.2877 -0.9109 5.1569 0.0 1.1534 VFID1005-SBS1409+557 1
83.0849 0.0049 82.834 0.005 6.1374 0.0033 3.2471 0.0176 1.6306 0.0104 0.9616 0.0034 14.1485 3.2113 28.7287 2.7693 0.0 1.6826 VFID1010-NGC3998 1
50.8318 0.042 50.3444 0.0385 7.1509 0.0162 8.9457 0.1975 1.1754 0.0223 0.9284 0.0119 -61.074 7.3772 -13.3102 5.5047 0.0 1.4655 VFID1018-NGC3913 1
85.0904 0.0207 84.7218 0.0284 8.2583 0.0221 5.8835 0.1766 1.3667 0.0327 0.6004 0.0087 -25.3591 1.3315 14.4191 2.088 0.0 1.2947 VFID1032-NGC5422 1
57.3685 0.0072 56.3345 0.0081 4.7399 0.0012 6.3817 0.0099 0.4706 0.002 0.8291 0.0012 21.5378 0.331 83.8794 6.3547 0.0 4.1981 VFID1036-NGC3982 1
59.5971 0.0118 60.4128 0.0155 7.758 0.02 4.2119 0.1147 1.628 0.0413 0.9632 0.0111 62.0578 14.7075 23.4443 4.1441 0.0 2.6069 VFID1055-NGC5473 1
101.19 0.242 100.4199 0.5666 8.2155 0.0533 10.9159 0.8427 0.6108 0.0849 0.434 0.0253 -11.6551 2.8944 119.55 5.6872 0.0 10.4965 VFID1059-NGC3733 1
28.4614 0.0863 28.1425 0.1408 10.4304 0.1131 4.0863 0.6358 1.3944 0.2173 0.7008 0.0594 2.4249 9.3888 28.0565 6.6427 0.0 1.1721 VFID1063-CGCG272-032 1
18.6782 0.0452 19.5373 0.0771 9.2237 0.0352 4.0988 0.1924 0.9196 0.0472 0.6702 0.018 21.9503 3.3527 56.4102 13.4229 0.0 1.9463 VFID1064-CGCG272-015 1
53.3237 0.8158 52.0949 0.2373 9.7973 0.0969 13.6294 1.8595 0.9105 0.16 0.2788 0.0226 -88.5423 2.5638 3.3085 3.8447 0.0 1.157 VFID1075-UGC06894 1
38.2742 0.0078 39.8218 0.0065 6.3471 0.002 3.8156 0.011 0.6112 0.0034 0.798 0.0019 73.5541 0.4707 72.1386 5.7702 0.0 3.1574 VFID1086-NGC4384 1
72.5976 0.047 72.7429 0.0418 8.5444 0.0426 5.3057 0.3072 1.6003 0.0778 0.8088 0.0224 -77.5702 5.4775 33.9867 3.1903 0.0 2.4634 VFID1088-NGC5687 1
58.1225 0.0326 60.331 0.066 5.531 0.0037 16.9731 0.0669 0.3372 0.0035 0.492 0.0021 -1.6187 0.2147 -64.6413 5.1511 0.0 1.8901 VFID1099-NGC3756 1
53.3108 0.0956 54.2222 0.1174 8.7897 0.0191 8.6254 0.2352 0.6458 0.0318 0.3082 0.0061 38.83 0.6335 -15.3764 3.043 0.0 1.2286 VFID1107-UGC09071 1
25.8553 0.0482 25.7464 0.0945 9.1029 0.0162 5.1299 0.1163 0.5154 0.0265 0.5198 0.0097 -1.3197 1.2361 12.0464 6.307 0.0 1.2243 VFID1132-SBS1407+540 1
40.4009 0.6529 38.9853 0.8533 11.2143 0.1598 6.0743 1.3829 0.5181 0.2554 0.4006 0.0762 -37.9059 8.0318 80.7859 5.6728 0.0 1.25 VFID1164-UGC06969 1
28.4157 0.0443 28.013 0.054 8.6251 0.0229 4.1076 0.1253 0.8774 0.0345 0.8321 0.0157 -23.8112 5.0432 17.8874 8.3685 0.0 1.3979 VFID1175-UGC06923 1
