xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
40.6041 0.0734 41.1385 0.0914 9.492 0.07 3.988 0.3739 1.3317 0.1263 0.8305 0.0437 17.1327 11.2533 13.211 5.9469 0.0 1.2499 VFID4074-NGC4515 1
46.6138 0.0096 45.7142 0.0131 6.2972 0.0028 4.4953 0.0179 0.5511 0.0043 0.74 0.0024 12.7094 0.483 83.7421 6.6402 0.0 1.9081 VFID4082-NGC4405 1
20.1125 0.0215 19.4792 0.0172 7.3585 0.0055 3.5018 0.0285 0.555 0.0083 0.7867 0.005 -85.5783 1.2853 90.9699 16.2229 0.0 1.9302 VFID4095-KUG1201+163 1
21.8284 0.0367 22.0541 0.0471 8.8393 0.0251 3.0614 0.1019 0.8425 0.0321 0.7945 0.0165 21.4453 4.8178 -7.5468 14.0341 0.0 1.4635 VFID4105-UGC06655 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4113-NGC4322 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4118-NGC4758 0
37.4867 0.4577 39.7208 0.5015 10.7333 0.2028 5.4425 1.4317 0.8477 0.3078 0.6954 0.1056 -47.2323 22.0802 -55.9918 6.6509 0.0 1.2241 VFID4133-IC0783 1
33.5479 0.0271 31.0092 0.1042 10.5062 0.0379 16.5685 0.005 0.0196 0.0052 0.2795 0.0215 4.9656 1.3575 57.7238 7.2441 1.0 1.2437 VFID4136-VCC1334 1
56.4456 0.0369 55.6494 0.0417 8.1736 0.037 6.424 0.3209 1.4672 0.0643 0.8321 0.0205 81.9253 5.61 -21.6349 4.6211 0.0 1.2847 VFID4142-NGC4379 1
77.437 0.0514 78.5252 0.0498 6.1984 0.5512 91.6796 66.3984 4.6572 0.9692 0.6842 0.0424 -47.3302 5.7563 -76.6179 11.0607 0.0 3.6991 VFID4156-NGC4421 1
45.464 0.025 45.5513 0.043 7.574 0.0077 6.0348 0.0677 0.5235 0.0111 0.5315 0.0051 -28.5592 0.6102 66.0603 5.4887 0.0 1.3383 VFID4167-IC0800 1
66.3455 0.0188 66.4395 0.0113 5.2963 0.0018 9.4043 0.0247 0.5262 0.0029 0.603 0.0014 -73.0079 0.1878 -29.0113 4.576 0.0 1.9643 VFID4171-NGC4237 1
132.1254 0.0034 133.4208 0.0065 5.614 0.0021 4.9586 0.016 1.2183 0.0051 0.5151 0.0012 27.9475 0.128 27.3148 1.8428 0.0 1.4654 VFID4186-NGC4710 1
33.4526 0.0351 33.6859 0.0288 7.0337 0.0061 5.6589 0.0518 0.5903 0.0106 0.8119 0.0058 -65.1493 1.6498 40.9026 9.2844 0.0 1.6312 VFID4191-IC0797 1
78.3251 0.0109 79.6346 0.0138 6.3587 0.0026 6.0003 0.0223 0.5146 0.0038 0.4962 0.0016 37.9365 0.1856 44.8142 3.3161 0.0 1.568 VFID4206-IC3392 1
29.9706 1.1854 42.7671 0.2485 10.0203 0.1094 13.6766 1.0977 0.1407 0.0629 0.2099 0.0206 86.3685 1.5075 -7.0728 6.8374 0.0 1.3711 VFID4211-IC0781 1
39.1309 0.0269 38.9061 0.0506 8.0661 0.0099 4.5258 0.0618 0.5033 0.0159 0.5297 0.0063 -3.1035 0.7777 49.1468 6.6495 0.0 1.3804 VFID4214-IC3806 1
53.0938 0.0205 53.523 0.0175 8.0279 0.0202 3.6565 0.0969 1.3191 0.0353 0.907 0.0132 13.6836 6.6322 68.2524 4.9088 0.0 1.311 VFID4216-NGC4262 1
28.9705 0.09 28.9413 0.306 10.139 0.0476 5.435 0.3526 0.3982 0.0686 0.2959 0.0196 -14.5211 1.6934 8.5808 8.8129 0.0 1.4225 VFID4220-IC3453 1
42.5368 0.0163 51.1416 0.0191 7.3496 0.0246 5.6975 0.1978 1.7945 0.0497 0.7079 0.0116 59.1599 1.8623 61.729 8.0415 0.0 2.5076 VFID4237-NGC4377 1
43.2095 1.6657 39.8612 1.4143 9.7616 0.1198 20.4988 2.0204 0.2149 0.079 0.3233 0.0376 49.833 3.1123 -13.3495 6.1837 0.0 1.1807 VFID4247-IC3637 1
76.0699 0.1035 76.5986 0.0882 4.9042 0.0099 13.7345 0.1944 0.5818 0.0163 0.5208 0.0059 -49.8624 0.724 365.6336 20.5551 0.0 49.3108 VFID4256-NGC4298 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4258-NGC4302 0
53.0751 0.1569 53.0208 0.2874 9.1187 0.1292 11.5028 2.0723 1.6685 0.2223 0.5114 0.0432 -11.892 5.0459 34.9987 5.8546 0.0 1.3381 VFID4264-NGC4516 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4280-IC3077 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4291-IC3023 0
